Model,Production Year,Number of Engines,Engine Type,Capacity,Range (km),Fuel Consumption (L/hour),Hourly Maintenance Cost ($),Age,Sales Region,Price ($)
Bombardier CRJ200,1987,2,Turbofan,50,3000,14.36,2185.43,36,Asya,12857083.91
Airbus A350,1982,2,Turbofan,350,14800,8.82,1869.09,41,Asya,354976612.82
Cessna 172,2018,1,Piston,4,1285,24.65,1814.65,5,Asya,396750.44
Boeing 777,1986,2,Turbofan,396,15600,4.4,2960.2,37,Asya,426940813.36
Boeing 737,2004,2,Turbofan,162,5700,9.06,1764.21,19,Asya,81240277.67
Airbus A320,1984,2,Turbofan,180,6300,2.96,3970.72,39,Asya,85658440.17
Boeing 737,1994,2,Turbofan,162,5700,2.83,1989.04,29,Asya,69650507.55
Bombardier CRJ200,2021,2,Turbofan,50,3000,7.56,2852.3,2,Asya,23385809.92
Bombardier CRJ200,2000,2,Turbofan,50,3000,4.43,4116.52,23,Asya,13469724.32
Airbus A350,1997,2,Turbofan,350,14800,7.55,1525.71,26,Asya,360117097.64
Airbus A350,1985,2,Turbofan,350,14800,11.47,1569.37,38,Asya,400312207.5
Airbus A320,2009,2,Turbofan,180,6300,5.14,2883.43,14,Asya,127589373.69
Airbus A320,2012,2,Turbofan,180,6300,6.54,2025.63,11,Asya,131800157.55
Cessna 172,2013,1,Piston,4,1285,16.43,522.78,10,Asya,317496.98
Boeing 777,1995,2,Turbofan,396,15600,11.7,1964.3,28,Asya,435882785.22
Airbus A320,2016,2,Turbofan,180,6300,9.39,3459.26,7,Asya,140344150.66
Boeing 737,2011,2,Turbofan,162,5700,6.78,921.54,12,Asya,87878634.15
Cessna 172,2008,1,Piston,4,1285,25.4,1825.02,15,Asya,285823.04
Airbus A320,1994,2,Turbofan,180,6300,9.24,1262.72,29,Asya,85071663.75
Airbus A320,1980,2,Turbofan,180,6300,8.74,1130.38,43,Asya,81164502.17
Bombardier CRJ200,2020,2,Turbofan,50,3000,11.13,3636.57,3,Asya,23974036.95
Airbus A320,1984,2,Turbofan,180,6300,5.82,2117.71,39,Asya,82396710.13
Airbus A350,1992,2,Turbofan,350,14800,9.05,2595.19,31,Asya,397867099.22
Bombardier CRJ200,2021,2,Turbofan,50,3000,3.11,3303.01,2,Asya,23289653.75
Cessna 172,1986,1,Piston,4,1285,21.2,3470.89,37,Asya,222355.92
Bombardier CRJ200,2014,2,Turbofan,50,3000,11.59,4796.89,9,Asya,24005505.92
